name,estimated_period_beginning,estimated_period_ending,descriptions,material_number,material_to_material,old_id,position,underage,,,,
,明治9年,昭和38年10月,,306,,未-12,,,,,,
,明治9年,昭和38年10月,,307,,未-15,,,,,,
,明治9年,昭和38年10月,,308,,（未登録）,,,,,,
,明治9年,昭和38年10月,,309,,未-3,,,,,,
,明治9年,昭和38年10月,LID136（OID97）のラベルを二重に使用している可能性がある。,351,,97,,,,,,
灯篭,明治9年,昭和38年10月,,400,,8,B,,,,,
灯篭の台,明治9年,昭和38年10月,,401,,9,B,,,,,
灯篭の台,明治9年,昭和38年10月,,402,,10,B,,,,,
枡合（麒麟）,明治9年,昭和38年10月,,403,,16,A側,,,,,
葉の彫刻,明治9年,昭和38年10月,,404,,20,不明,,,,,
鳳凰の羽,明治9年,昭和38年10月,,405,,20,不明,,,,,
鳳凰の羽,明治9年,昭和38年10月,,406,,20,不明,,,,,
鳳凰の羽,明治9年,昭和38年10月,,407,,20,不明,,,,,
鳳凰の羽,明治9年,昭和38年10月,,408,,20,不明,,,,,
鳳凰の羽,明治9年,昭和38年10月,,409,,20,不明,,,,,
鳳凰の羽,明治9年,昭和38年10月,,410,,20,不明,,,,,
獅噛,明治9年,昭和38年10月,,411,,45,A,,,,,
枡合（獅子）,明治9年,昭和38年10月,,412,,52,A側,,,,,
枡合（麒麟）,明治9年,昭和38年10月,,413,,54,A側,,,,,
脇障子カ,明治9年,昭和38年10月,土呂幕,414,,55,Ｂ,,,,,
獅噛,明治9年,昭和38年10月,,415,,56,A背,,,,,
枡合（麒麟）,明治9年,昭和38年10月,,416,,57,A側,,,,,
懸魚（鳳凰）,明治9年,昭和38年10月,,417,458,61-(1),A正,,,,,
懸魚（鳳凰の頭）,明治9年,昭和38年10月,,418,,61-(2),A正面,,,,,
懸魚（鳳凰の羽）,明治9年,昭和38年10月,,419,,61-(3),A正,,,,,
車板（波）,明治9年,昭和38年10月,,420,,82,,,,,,
縣魚（鳳凰）,明治9年,昭和38年10月,,421,,91,,,,,,
縣魚（鳳凰）,明治9年,昭和38年10月,,422,,92,,,,,,
,明治9年,昭和38年10月,,423,,104,,,,,,
,明治9年,昭和38年10月,,424,,178,,,,,,
土呂幕,明治9年,昭和38年10月,,425,,209,,,,,,
木鼻,明治9年,昭和38年10月,,426,,301,,,,,,
木鼻,明治9年,昭和38年10月,,427,,302,,,,,,
木鼻,明治9年,昭和38年10月,,428,,303,,,,,,
木鼻,明治9年,昭和38年10月,,429,,304,,,,,,
車板（波）,明治9年,昭和38年10月,巨大なため、撮影パス,430,,83,,,,,,
高欄,明治9年,昭和38年10月,巨大なため、撮影パス,431,,201,B,,,,,
羽,明治9年,昭和38年10月,巨大なため、撮影パス,432,,205,,,,,,
,明治9年,昭和38年10月,LID7の破片,433,7,（未登録）,,,,,,
,明治9年,昭和38年10月,LID79の破片,434,79,545,（未登録）,,,,,
,明治9年,昭和38年10月,LID105の破片,435,105,（未登録）,,,,,,
,明治9年,昭和38年10月,,436,,（未登録）,,,,,,
,明治9年,昭和38年10月,LID57の破片,437,57,546,（未登録）,,,,,
,明治9年,昭和38年10月,一括資料の一部,439,440,441,203,,,,,
203の破片,明治9年,昭和38年10月,LID440の破片,441,439,440,203,,,,,
,明治9年,昭和38年10月,LID120の破片,444,120,544,（未登録）,,,,,
,明治9年,昭和38年10月,,447,,（未登録）,,,,,,
,明治9年,昭和38年10月,LID154の綿,448,154,（未登録）,,,,,,
車板の一部（龍の尾）,明治9年,昭和38年10月,リストに含まれていなかった為追加登録。,449,,32-(2),正面,,,,,
車板の一部（龍の足）,明治9年,昭和38年10月,リストに含まれていなかった為追加登録。,450,,32-(3),正面,,,,,
木鼻の目の破片,明治9年,昭和38年10月,木鼻の目の破片,451,,（未登録）,,,,,,
,明治9年,昭和38年10月,LID19の破片,452,19,560,（未登録）,,,,,
,明治9年,昭和38年10月,LID80の破片,453,80,561,（未登録）,,,,,
,明治9年,昭和38年10月,LID49の部品,454,49,（未登録）,,,,,,
,明治9年,昭和38年10月,LID241の破片,455,241,551,552,553,571,572,（未登録）,
,明治9年,昭和38年10月,LID20一部,456,20,581,（未登録）,,,,,
,明治9年,昭和38年10月,LID41の部品,457,41,564,565,566,（未登録）,,,
,明治9年,昭和38年10月,LID417の部品,458,417,（未登録）,,,,,,
,明治9年,昭和38年10月,LID15の部品,459,15,（未登録）,,,,,,
,明治9年,昭和38年10月,LID11の部品,460,11,556,557,（未登録）,,,,
,明治9年,昭和38年10月,LID213の部品,461,213,（未登録）,,,,,,
,明治9年,昭和38年10月,LID300の目の破片,462,300,567,未-19,,,,,
,明治9年,昭和38年10月,LID204の破片,463,204,204,,,,,,
土路幕上,明治9年,昭和38年10月,鳥と波,464,,310,,,,,,
,明治9年,昭和38年10月,,465,,309,,,,,,
,明治9年,昭和38年10月,,466,,306,,,,,,
,明治9年,昭和38年10月,,467,,307,,,,,,
,明治9年,昭和38年10月,,468,,308,,,,,,
,明治9年,昭和38年10月,,469,,313,,,,,,
,明治9年,昭和38年10月,,470,,311,,,,,,
鳳凰の羽,明治9年,昭和38年10月,,471,,未登録,,,,,,
鳳凰の羽,明治9年,昭和38年10月,,472,,未登録,,,,,,
鳳凰の羽,明治9年,昭和38年10月,,473,,未登録,,,,,,
葉,明治9年,昭和38年10月,,500,,312,,,,,,
,明治9年,昭和38年10月,,501,,314,,,,,,
,明治9年,昭和38年10月,,502,,315,,,,,,
,明治9年,昭和38年10月,,503,,316,,,,,,
,明治9年,昭和38年10月,,504,,317,,,,,,
,明治9年,昭和38年10月,,505,,318,,,,,,
,明治9年,昭和38年10月,,506,,410,,,,,,
,明治9年,昭和38年10月,,507,,409,,,,,,
,明治9年,昭和38年10月,,508,,415,,,,,,
,明治9年,昭和38年10月,,509,,422,,,,,,
葉,明治9年,昭和38年10月,,510,,327,,,,,,
,明治9年,昭和38年10月,,511,,407,,,,,,
,明治9年,昭和38年10月,,512,,425,,,,,,
,明治9年,昭和38年10月,,513,,322,,,,,,
,明治9年,昭和38年10月,,514,,420,,,,,,
,明治9年,昭和38年10月,,515,,408,,,,,,
,明治9年,昭和38年10月,,516,,414,,,,,,
,明治9年,昭和38年10月,,517,,412,,,,,,
,明治9年,昭和38年10月,,518,,411,,,,,,
,明治9年,昭和38年10月,,519,,320,,,,,,
,明治9年,昭和38年10月,,520,,321,,,,,,
,明治9年,昭和38年10月,,521,,430,,,,,,
,明治9年,昭和38年10月,,522,,424,,,,,,
,明治9年,昭和38年10月,,523,,319,,,,,,
,明治9年,昭和38年10月,カメラ位置変更・バーコードサイズ変更（小さく変更）。,524,,418,,,,,,
,明治9年,昭和38年10月,,525,,427,,,,,,
,明治9年,昭和38年10月,,526,,429,,,,,,
,明治9年,昭和38年10月,,527,,423,,,,,,
,明治9年,昭和38年10月,,528,,429,,,,,,
,明治9年,昭和38年10月,,529,,413,,,,,,
,明治9年,昭和38年10月,,530,,426,,,,,,
,明治9年,昭和38年10月,,531,,416,,,,,,
,明治9年,昭和38年10月,,532,,419,,,,,,
,明治9年,昭和38年10月,,533,,428,,,,,,
,明治9年,昭和38年10月,,534,,436,,,,,,
,明治9年,昭和38年10月,,535,,434,,,,,,
,明治9年,昭和38年10月,,536,,431,,,,,,
,明治9年,昭和38年10月,,537,,433,,,,,,
,明治9年,昭和38年10月,,538,,432,,,,,,
,明治9年,昭和38年10月,,539,,435,,,,,,
,明治9年,昭和38年10月,,540,,421,,,,,,
,明治9年,昭和38年10月,LID115の破片。虹梁（獅子）。,541,115,117,118,154,77,,,
,明治9年,昭和38年10月,LID14の破片,542,14,未登録,,,,,,
,明治9年,昭和38年10月,LID56の破片,543,56,438,38-1,,,,,
,明治9年,昭和38年10月,LID120の破片,544,120,444,,,,,,
,明治9年,昭和38年10月,LID79の破片,545,79,434,,,,,,
,明治9年,昭和38年10月,LID57の破片,546,57,437,,,,,,
,明治9年,昭和38年10月,,547,,,,,,,,
,明治9年,昭和38年10月,LID98の破片。木鼻,548,98,582,584,,,,,
,明治9年,昭和38年10月,LID243の破片,549,243,550,,,,,,
,明治9年,昭和38年10月,LID243の破片,550,243,549,,,,,,
,明治9年,昭和38年10月,LID241の破片,551,241,455,552,553,571,572,,
,明治9年,昭和38年10月,LID241の破片,552,241,455,551,553,571,572,,
,明治9年,昭和38年10月,LID241の破片,553,241,455,551,552,571,572,,
